1	0.13	26.9
2	0.27	26.86
3	0.28	26.81
4	0.23	26.81
5	0.22	26.8
6	0.21	26.8
7	0.21	26.81
8	0.14	26.82
9	0.11	26.84
10	0.14	26.84
11	0.08	26.86
12	0.14	26.87
13	0.14	26.85
14	0.2	26.84
15	0.2	26.83
16	0.11	26.85
17	0.2	26.85
18	0.23	26.82
19	0.11	26.84
20	0.14	26.85
21	0.17	26.85
22	0.24	26.82
23	0.19	26.79
24	0.18	26.81
25	0.22	26.81
26	0.33	26.79
27	0.32	26.75
28	0.25	26.75
29	0.3	26.75
30	0.32	26.73
31	0.25	26.73
32	0.2	26.74
33	0.18	26.75
34	0.18	26.75
35	0.23	26.75
36	0.27	26.74
37	0.26	26.74
38	0.22	26.73
39	0.22	26.74
40	0.21	26.75
41	0.2	26.76
42	0.22	26.76
43	0.28	26.74
44	0.33	26.72
45	0.25	26.7
46	0.23	26.69
47	0.26	26.71
48	0.24	26.72
49	0.16	26.74
50	0.12	26.75
51	0.25	26.77
52	0.29	26.72
53	0.22	26.72
54	0.2	26.69
55	0.09	26.72
56	0.12	26.74
57	0.12	26.74
58	0.08	26.73
59	0.12	26.78
60	0.08	26.8
61	0.06	26.8
62	0.1	26.8
63	0.08	26.78
64	0.08	26.77
65	0.08	26.77
66	0.05	26.79
67	0.07	26.8
68	0.09	26.8
69	0.15	26.84
70	0.16	26.82
71	0.18	26.78
72	0.15	26.78
73	0.17	26.78
74	0.15	26.76
75	0.13	26.76
76	0.17	26.75
77	0.19	26.72
78	0.1	26.72
79	0.08	26.76
80	0.07	26.77
81	0.13	26.78
82	0.08	26.83
83	0.13	26.81
84	0.13	26.77
85	0.12	26.78
86	0.09	26.8
87	0.1	26.78
88	0.12	26.78
89	0.13	26.76
90	0.1	26.75
91	0.05	26.76
92	0.06	26.8
93	0.07	26.81
94	0.1	26.8
95	0.11	26.79
96	0.1	26.77
97	0.12	26.77
98	0.09	26.77
99	0.11	26.78
100	0.15	26.76
101	0.14	26.74
102	0.12	26.74
103	0.12	26.74
104	0.08	26.74
105	0.06	26.76
106	0.05	26.78
107	0.12	26.77
108	0.14	26.75
109	0.12	26.73
110	0.1	26.76
111	0.23	26.76
112	0.19	26.7
113	0.11	26.72
114	0.12	26.74
115	0.13	26.72
116	0.12	26.7
117	0.16	26.71
118	0.16	26.69
119	0.13	26.69
120	0.11	26.73
121	0.13	26.72
122	0.13	26.7
123	0.1	26.71
124	0.07	26.73
125	0.12	26.73
126	0.17	26.72
127	0.13	26.71
128	0.13	26.71
129	0.13	26.72
130	0.11	26.7
131	0.06	26.74
132	0.06	26.75
133	0.11	26.75
134	0.07	26.73
135	0.07	26.72
136	0.21	26.69
137	0.17	26.66
138	0.21	26.65
139	0.13	26.67
140	0.13	26.65
141	0.16	26.66
142	0.18	26.63
143	0.22	26.63
144	0.26	26.61
145	0.33	26.55
146	0.38	26.5
147	0.28	26.49
148	0.19	26.53
149	0.22	26.56
150	0.26	26.53
151	0.26	26.57
152	0.2	26.55
153	0.27	26.53
154	0.25	26.52
155	0.25	26.51
156	0.2	26.53
157	0.23	26.54
158	0.25	26.52
159	0.31	26.52
160	0.26	26.51
161	0.29	26.49
162	0.28	26.48
163	0.25	26.5
164	0.26	26.5
165	0.19	26.51
166	0.21	26.5
167	0.24	26.51
168	0.2	26.51
169	0.21	26.51
170	0.18	26.52
171	0.21	26.5
172	0.28	26.47
173	0.2	26.49
174	0.17	26.5
175	0.21	26.5
176	0.28	26.48
177	0.3	26.45
178	0.2	26.44
179	0.19	26.48
180	0.19	26.51
181	0.21	26.5
182	0.2	26.47
183	0.22	26.46
184	0.19	26.47
185	0.19	26.49
186	0.21	26.47
187	0.19	26.48
188	0.32	26.42
189	0.24	26.41
190	0.25	26.42
191	0.14	26.44
192	0.11	26.49
193	0.1	26.52
194	0.07	26.53
195	0.17	26.52
196	0.25	26.45
197	0.2	26.44
198	0.2	26.44
199	0.15	26.46
200	0.14	26.49
201	0.22	26.46
202	0.17	26.45
203	0.18	26.45
204	0.18	26.45
205	0.2	26.44
206	0.21	26.42
207	0.19	26.43
208	0.14	26.44
209	0.14	26.45
210	0.06	26.48
211	0.05	26.5
212	0.09	26.51
213	0.09	26.49
214	0.05	26.5
215	0.07	26.52
216	0.05	26.53
217	0.02	26.57
218	0.05	26.57
219	0.05	26.56
220	0.05	26.56
221	0.05	26.56
222	0.06	26.55
223	0.07	26.54
224	0.05	26.55
225	0.05	26.56
226	0.05	26.56
227	0.05	26.56
228	0.05	26.55
229	0.05	26.56
230	0.05	26.56
231	0.06	26.55
232	0.05	26.55
233	0.05	26.55
234	0.06	26.55
235	0.05	26.56
236	0.06	26.57
237	0.06	26.57
238	0.08	26.55
239	0.11	26.53
240	0.1	26.51
241	0.09	26.5
242	0.05	26.52
243	0.04	26.54
