MFK3006 Log 1,TIME,m/s,°C
84,01:54:56,0.21,25.72
85,01:54:57,0.31,25.72
86,01:54:58,0.44,25.68
87,01:54:59,0.4,25.67
88,01:55:00,0.4,25.68
89,01:55:01,0.2,25.72
90,01:55:02,0.42,25.69
91,01:55:03,0.46,25.66
92,01:55:04,0.26,25.67
93,01:55:05,0.37,25.67
94,01:55:06,0.48,25.64
95,01:55:07,0.45,25.62
96,01:55:08,0.31,25.65
97,01:55:09,0.41,25.63
98,01:55:10,0.45,25.63
99,01:55:11,0.41,25.61
100,01:55:12,0.36,25.63
101,01:55:13,0.43,25.61
102,01:55:14,0.31,25.62
103,01:55:15,0.25,25.65
104,01:55:16,0.38,25.67
105,01:55:17,0.32,25.66
106,01:55:18,0.46,25.63
107,01:55:19,0.42,25.61
108,01:55:20,0.49,25.58
109,01:55:21,0.34,25.59
110,01:55:22,0.53,25.58
111,01:55:23,0.35,25.58
112,01:55:24,0.52,25.57
113,01:55:25,0.38,25.58
114,01:55:26,0.45,25.56
115,01:55:27,0.56,25.54
116,01:55:28,0.34,25.53
117,01:55:29,0.4,25.56
118,01:55:30,0.34,25.56
119,01:55:31,0.19,25.61
120,01:55:32,0.29,25.6
MFK3006 Log 18,TIME,m/s,°C
1,01:55:48,0.07,25.92
2,01:55:49,0.06,25.9
3,01:55:50,0.04,25.89
4,01:55:51,0.06,25.91
5,01:55:52,0.07,25.9
6,01:55:53,0.05,25.89
7,01:55:54,0.04,25.88
8,01:55:55,0.07,25.87
9,01:55:56,0.1,25.87
10,01:55:57,0.09,25.85
11,01:55:58,0.08,25.9
12,01:55:59,0.07,25.91
13,01:56:00,0.07,25.9
14,01:56:01,0.09,25.86
15,01:56:02,0.08,25.92
16,01:56:03,0.09,25.9
17,01:56:04,0.1,25.91
18,01:56:05,0.11,25.88
19,01:56:06,0.1,25.9
20,01:56:07,0.09,25.93
21,01:56:08,0.12,25.93
22,01:56:09,0.11,25.88
23,01:56:10,0.13,25.88
24,01:56:11,0.16,25.89
25,01:56:12,0.18,25.9
26,01:56:13,0.12,25.89
27,01:56:14,0.12,25.91
28,01:56:15,0.16,25.9
29,01:56:16,0.15,25.9
30,01:56:17,0.14,25.93
31,01:56:18,0.16,25.88
32,01:56:19,0.13,25.87
33,01:56:20,0.14,25.88
34,01:56:21,0.11,25.93
35,01:56:22,0.11,25.93
36,01:56:23,0.1,25.92
37,01:56:24,0.11,25.92
38,01:56:25,0.1,25.92
39,01:56:26,0.08,25.93
40,01:56:27,0.08,25.92
41,01:56:28,0.08,25.95
42,01:56:29,0.07,25.93
43,01:56:30,0.09,25.91
44,01:56:31,0.08,25.93
45,01:56:32,0.08,25.91
46,01:56:33,0.07,25.93
47,01:56:34,0.06,25.94
48,01:56:35,0.02,25.96
49,01:56:36,0.03,25.98
50,01:56:37,0.03,25.97
51,01:56:38,0.03,25.96
52,01:56:39,0.04,25.97
53,01:56:40,0.08,25.98
54,01:56:41,0.07,25.95
55,01:56:42,0.05,26
56,01:56:43,0.02,26
57,01:56:44,0.04,26
58,01:56:45,0.08,25.97
59,01:56:46,0.05,26
60,01:56:47,0.06,25.98
61,01:56:48,0.04,26
62,01:56:49,0.04,26.02
63,01:56:50,0.05,26
64,01:56:51,0.05,25.99
65,01:56:52,0.06,25.99
66,01:56:53,0.07,26
67,01:56:54,0.05,26.01
68,01:56:55,0.05,26.01
69,01:56:56,0.03,26.01
70,01:56:57,0.04,26.01
71,01:56:58,0.06,25.99
72,01:56:59,0.04,26
73,01:57:00,0.04,25.99
74,01:57:01,0.06,25.97
75,01:57:02,0.08,25.96
76,01:57:03,0.04,25.96
77,01:57:04,0.07,25.98
78,01:57:05,0.05,26
79,01:57:06,0.05,25.99
80,01:57:07,0.06,25.99
81,01:57:08,0.08,25.99
82,01:57:09,0.11,26
83,01:57:10,0.08,25.97
84,01:57:11,0.08,25.97
85,01:57:12,0.07,25.96
86,01:57:13,0.05,25.95
87,01:57:14,0.06,25.95
88,01:57:15,0.08,25.98
89,01:57:16,0.04,26
90,01:57:17,0.06,25.98
91,01:57:18,0.09,26
92,01:57:19,0.1,26.01
93,01:57:20,0.07,25.96
94,01:57:21,0.09,26
95,01:57:22,0.1,25.97
96,01:57:23,0.09,25.95
97,01:57:24,0.11,25.93
98,01:57:25,0.08,25.94
99,01:57:26,0.09,25.95
100,01:57:27,0.1,25.93
101,01:57:28,0.07,25.93
102,01:57:29,0.05,25.93
103,01:57:30,0.07,25.95
104,01:57:31,0.09,25.95
105,01:57:32,0.1,25.94
106,01:57:33,0.07,25.94
107,01:57:34,0.08,26.01
108,01:57:35,0.07,26
109,01:57:36,0.1,26.01
110,01:57:37,0.06,26
111,01:57:38,0.07,25.98
112,01:57:39,0.06,25.97
113,01:57:40,0.08,25.97
114,01:57:41,0.08,25.94
115,01:57:42,0.11,25.96
116,01:57:43,0.09,25.95
117,01:57:44,0.13,25.97
118,01:57:45,0.13,25.97
119,01:57:46,0.13,25.98
120,01:57:47,0.12,25.93
MFK3006 Log 19,TIME,m/s,°C
1,01:58:44,0.13,25.96
2,01:58:45,0.11,25.96
3,01:58:46,0.11,25.96
4,01:58:47,0.12,25.97
5,01:58:48,0.11,25.96
6,01:58:49,0.12,25.95
7,01:58:50,0.11,25.96
8,01:58:51,0.14,25.95
9,01:58:52,0.12,25.94
10,01:58:53,0.1,25.95
11,01:58:54,0.11,25.96
12,01:58:55,0.1,25.96
13,01:58:56,0.09,25.95
14,01:58:57,0.1,25.94
15,01:58:58,0.12,25.95
16,01:58:59,0.12,25.94
17,01:59:00,0.09,25.94
18,01:59:01,0.11,25.94
19,01:59:02,0.09,25.96
20,01:59:03,0.14,25.97
21,01:59:04,0.12,25.95
22,01:59:05,0.07,25.95
23,01:59:06,0.07,25.92
24,01:59:07,0.05,25.91
25,01:59:08,0.05,25.92
26,01:59:09,0.07,25.93
27,01:59:10,0.03,25.94
28,01:59:11,0.03,25.95
29,01:59:12,0.06,25.96
30,01:59:13,0.05,25.97
31,01:59:14,0.06,25.98
32,01:59:15,0.06,26
33,01:59:16,0.06,26.03
34,01:59:17,0.08,26.01
35,01:59:18,0.06,25.99
36,01:59:19,0.06,25.99
37,01:59:20,0.04,25.99
38,01:59:21,0.08,25.97
39,01:59:22,0.03,25.96
40,01:59:23,0.07,25.95
41,01:59:24,0.06,25.97
42,01:59:25,0.07,25.95
43,01:59:26,0.04,25.96
44,01:59:27,0.04,25.95
45,01:59:28,0.07,25.95
46,01:59:29,0.08,25.98
47,01:59:30,0.06,25.99
48,01:59:31,0.05,25.97
49,01:59:32,0.06,26
50,01:59:33,0.05,25.98
51,01:59:34,0.09,25.97
52,01:59:35,0.06,25.97
53,01:59:36,0.05,25.95
54,01:59:37,0.04,25.98
55,01:59:38,0.08,25.96
56,01:59:39,0.11,25.96
57,01:59:40,0.09,25.95
58,01:59:41,0.11,25.95
59,01:59:42,0.1,25.99
60,01:59:43,0.07,25.95
61,01:59:44,0.1,25.98
62,01:59:45,0.1,25.95
63,01:59:46,0.08,25.93
64,01:59:47,0.05,25.96
65,01:59:48,0.06,25.96
66,01:59:49,0.05,25.97
67,01:59:50,0.08,25.95
68,01:59:51,0.07,25.91
69,01:59:52,0.1,25.95
70,01:59:53,0.09,25.95
71,01:59:54,0.09,25.95
72,01:59:55,0.08,25.94
73,01:59:56,0.11,25.91
74,01:59:57,0.09,25.91
75,01:59:58,0.08,25.9
76,01:59:59,0.08,25.91
77,02:00:00,0.11,25.89
78,02:00:01,0.09,25.9
79,02:00:02,0.1,25.88
80,02:00:03,0.15,25.89
81,02:00:04,0.11,25.85
82,02:00:05,0.11,25.85
83,02:00:06,0.14,25.86
84,02:00:07,0.12,25.84
85,02:00:08,0.11,25.85
86,02:00:09,0.12,25.84
87,02:00:10,0.1,25.85
88,02:00:11,0.09,25.87
89,02:00:12,0.12,25.86
90,02:00:13,0.08,25.86
91,02:00:14,0.1,25.84
92,02:00:15,0.09,25.84
93,02:00:16,0.12,25.84
94,02:00:17,0.12,25.85
95,02:00:18,0.11,25.83
96,02:00:19,0.11,25.86
97,02:00:20,0.15,25.83
98,02:00:21,0.14,25.83
99,02:00:22,0.1,25.85
100,02:00:23,0.12,25.85
101,02:00:24,0.12,25.83
102,02:00:25,0.09,25.84
103,02:00:26,0.1,25.83
104,02:00:27,0.12,25.78
105,02:00:28,0.09,25.81
106,02:00:29,0.07,25.85
107,02:00:30,0.08,25.83
108,02:00:31,0.05,25.85
109,02:00:32,0.12,25.81
110,02:00:33,0.1,25.87
111,02:00:34,0.07,25.86
112,02:00:35,0.11,25.81
113,02:00:36,0.1,25.79
114,02:00:37,0.1,25.82
115,02:00:38,0.09,25.81
116,02:00:39,0.07,25.82
117,02:00:40,0.08,25.83
118,02:00:41,0.09,25.79
119,02:00:42,0.12,25.79
120,02:00:43,0.08,25.8
MFK3006 Log 20,TIME,m/s,°C
1,02:01:28,0.5,25.03
2,02:01:29,0.46,25
3,02:01:30,0.6,24.99
4,02:01:31,0.48,24.96
5,02:01:32,0.41,24.97
6,02:01:33,0.5,24.97
7,02:01:34,0.46,24.96
8,02:01:35,0.39,24.96
9,02:01:36,0.5,24.95
10,02:01:37,0.46,24.93
11,02:01:38,0.52,24.92
12,02:01:39,0.42,24.92
13,02:01:40,0.53,24.9
14,02:01:41,0.46,24.89
15,02:01:42,0.39,24.89
16,02:01:43,0.44,24.88
17,02:01:44,0.55,24.86
18,02:01:45,0.46,24.86
19,02:01:46,0.44,24.84
20,02:01:47,0.52,24.84
21,02:01:48,0.46,24.83
22,02:01:49,0.6,24.81
23,02:01:50,0.53,24.8
24,02:01:51,0.4,24.81
25,02:01:52,0.53,24.8
26,02:01:53,0.51,24.79
27,02:01:54,0.47,24.77
28,02:01:55,0.5,24.78
29,02:01:56,0.67,24.75
30,02:01:57,0.58,24.72
31,02:01:58,0.58,24.73
32,02:01:59,0.46,24.71
33,02:02:00,0.48,24.71
34,02:02:01,0.52,24.7
35,02:02:02,0.6,24.69
36,02:02:03,0.42,24.69
37,02:02:04,0.45,24.68
38,02:02:05,0.43,24.69
39,02:02:06,0.52,24.69
40,02:02:07,0.53,24.67
41,02:02:08,0.45,24.67
42,02:02:09,0.47,24.65
43,02:02:10,0.57,24.65
44,02:02:11,0.43,24.64
45,02:02:12,0.54,24.63
46,02:02:13,0.46,24.64
47,02:02:14,0.53,24.62
48,02:02:15,0.53,24.62
49,02:02:16,0.44,24.62
50,02:02:17,0.58,24.59
51,02:02:18,0.49,24.59
52,02:02:19,0.36,24.59
53,02:02:20,0.51,24.59
54,02:02:21,0.62,24.55
55,02:02:22,0.39,24.56
56,02:02:23,0.41,24.57
57,02:02:24,0.38,24.57
58,02:02:25,0.5,24.55
59,02:02:26,0.46,24.54
60,02:02:27,0.53,24.52
61,02:02:28,0.45,24.53
62,02:02:29,0.59,24.51
63,02:02:30,0.53,24.5
64,02:02:31,0.41,24.52
65,02:02:32,0.34,24.52
66,02:02:33,0.48,24.51
67,02:02:34,0.5,24.5
68,02:02:35,0.54,24.48
69,02:02:36,0.39,24.47
70,02:02:37,0.51,24.47
71,02:02:38,0.52,24.46
72,02:02:39,0.48,24.45
73,02:02:40,0.36,24.46
74,02:02:41,0.51,24.44
75,02:02:42,0.47,24.44
76,02:02:43,0.55,24.42
77,02:02:44,0.43,24.42
78,02:02:45,0.59,24.4
79,02:02:46,0.39,24.41
80,02:02:47,0.44,24.4
81,02:02:48,0.54,24.39
82,02:02:49,0.5,24.38
83,02:02:50,0.46,24.37
84,02:02:51,0.43,24.37
85,02:02:52,0.41,24.38
86,02:02:53,0.43,24.38
87,02:02:54,0.55,24.36
88,02:02:55,0.47,24.36
89,02:02:56,0.52,24.35
90,02:02:57,0.51,24.33
91,02:02:58,0.46,24.32
92,02:02:59,0.52,24.32
93,02:03:00,0.51,24.32
94,02:03:01,0.64,24.3
95,02:03:02,0.44,24.29
96,02:03:03,0.45,24.3
97,02:03:04,0.43,24.3
98,02:03:05,0.51,24.3
99,02:03:06,0.52,24.28
100,02:03:07,0.44,24.28
101,02:03:08,0.5,24.27
102,02:03:09,0.43,24.29
103,02:03:10,0.44,24.26
104,02:03:11,0.34,24.27
105,02:03:12,0.4,24.27
106,02:03:13,0.53,24.24
107,02:03:14,0.62,24.22
108,02:03:15,0.47,24.23
109,02:03:16,0.4,24.23
110,02:03:17,0.4,24.23
111,02:03:18,0.49,24.22
112,02:03:19,0.46,24.21
113,02:03:20,0.35,24.21
114,02:03:21,0.45,24.22
115,02:03:22,0.52,24.2
116,02:03:23,0.46,24.19
117,02:03:24,0.44,24.19
118,02:03:25,0.53,24.18
119,02:03:26,0.53,24.17
120,02:03:27,0.29,24.18
MFK3006 Log 21,TIME,m/s,°C
1,02:04:26,0.61,23.81
2,02:04:27,0.68,23.8
3,02:04:28,0.63,23.79
4,02:04:29,0.53,23.8
5,02:04:30,0.65,23.79
6,02:04:31,0.68,23.78
7,02:04:32,0.68,23.77
8,02:04:33,0.68,23.77
9,02:04:34,0.56,23.77
10,02:04:35,0.64,23.76
11,02:04:36,0.61,23.76
12,02:04:37,0.7,23.75
13,02:04:38,0.67,23.73
14,02:04:39,0.61,23.72
15,02:04:40,0.65,23.71
16,02:04:41,0.62,23.72
17,02:04:42,0.6,23.71
18,02:04:43,0.6,23.71
19,02:04:44,0.56,23.71
20,02:04:45,0.59,23.7
21,02:04:46,0.6,23.71
22,02:04:47,0.53,23.71
23,02:04:48,0.59,23.71
24,02:04:49,0.56,23.69
25,02:04:50,0.52,23.69
26,02:04:51,0.54,23.69
27,02:04:52,0.64,23.69
28,02:04:53,0.59,23.69
29,02:04:54,0.65,23.67
30,02:04:55,0.58,23.67
31,02:04:56,0.5,23.67
32,02:04:57,0.63,23.66
33,02:04:58,0.64,23.66
34,02:04:59,0.56,23.66
35,02:05:00,0.61,23.65
36,02:05:01,0.67,23.65
37,02:05:02,0.59,23.64
38,02:05:03,0.65,23.64
39,02:05:04,0.58,23.63
40,02:05:05,0.6,23.63
41,02:05:06,0.62,23.63
42,02:05:07,0.56,23.63
43,02:05:08,0.57,23.62
44,02:05:09,0.59,23.61
45,02:05:10,0.47,23.61
46,02:05:11,0.59,23.61
47,02:05:12,0.57,23.6
48,02:05:13,0.63,23.59
49,02:05:14,0.71,23.58
50,02:05:15,0.6,23.58
51,02:05:16,0.63,23.57
52,02:05:17,0.63,23.56
53,02:05:18,0.61,23.57
54,02:05:19,0.59,23.56
55,02:05:20,0.65,23.55
56,02:05:21,0.6,23.56
57,02:05:22,0.66,23.55
58,02:05:23,0.62,23.55
59,02:05:24,0.63,23.54
60,02:05:25,0.67,23.54
61,02:05:26,0.64,23.53
62,02:05:27,0.68,23.53
63,02:05:28,0.72,23.52
64,02:05:29,0.55,23.52
65,02:05:30,0.66,23.52
66,02:05:31,0.65,23.51
67,02:05:32,0.69,23.5
68,02:05:33,0.68,23.5
69,02:05:34,0.65,23.49
70,02:05:35,0.57,23.49
71,02:05:36,0.55,23.5
72,02:05:37,0.51,23.5
73,02:05:38,0.64,23.49
74,02:05:39,0.54,23.49
75,02:05:40,0.56,23.49
76,02:05:41,0.47,23.5
77,02:05:42,0.57,23.49
78,02:05:43,0.6,23.48
79,02:05:44,0.55,23.47
80,02:05:45,0.57,23.47
81,02:05:46,0.58,23.48
82,02:05:47,0.62,23.47
83,02:05:48,0.63,23.46
84,02:05:49,0.54,23.46
85,02:05:50,0.63,23.46
86,02:05:51,0.62,23.45
87,02:05:52,0.61,23.44
88,02:05:53,0.54,23.44
89,02:05:54,0.52,23.45
90,02:05:55,0.61,23.45
91,02:05:56,0.61,23.44
92,02:05:57,0.63,23.43
93,02:05:58,0.59,23.43
94,02:05:59,0.58,23.43
95,02:06:00,0.57,23.43
96,02:06:01,0.5,23.43
97,02:06:02,0.67,23.43
98,02:06:03,0.6,23.42
99,02:06:04,0.63,23.41
100,02:06:05,0.61,23.41
101,02:06:06,0.58,23.4
102,02:06:07,0.56,23.4
103,02:06:08,0.55,23.4
104,02:06:09,0.62,23.39
105,02:06:10,0.69,23.39
106,02:06:11,0.68,23.38
107,02:06:12,0.68,23.38
108,02:06:13,0.68,23.37
109,02:06:14,0.68,23.36
110,02:06:15,0.57,23.36
111,02:06:16,0.58,23.36
112,02:06:17,0.61,23.35
113,02:06:18,0.72,23.35
114,02:06:19,0.69,23.35
115,02:06:20,0.62,23.34
116,02:06:21,0.62,23.34
117,02:06:22,0.63,23.34
118,02:06:23,0.63,23.34
119,02:06:24,0.65,23.34
120,02:06:25,0.57,23.34
MFK3006 Log 22,TIME,m/s,°C
1,02:07:11,0.65,23.26
2,02:07:12,0.67,23.26
3,02:07:13,0.73,23.25
4,02:07:14,0.67,23.24
5,02:07:15,0.7,23.24
6,02:07:16,0.67,23.25
7,02:07:17,0.65,23.24
8,02:07:18,0.72,23.24
9,02:07:19,0.61,23.25
10,02:07:20,0.7,23.25
11,02:07:21,0.57,23.25
12,02:07:22,0.65,23.26
13,02:07:23,0.64,23.26
14,02:07:24,0.63,23.26
15,02:07:25,0.69,23.25
16,02:07:26,0.74,23.25
17,02:07:27,0.68,23.25
18,02:07:28,0.6,23.25
19,02:07:29,0.64,23.25
20,02:07:30,0.65,23.26
21,02:07:31,0.66,23.25
22,02:07:32,0.64,23.25
23,02:07:33,0.65,23.25
24,02:07:34,0.63,23.24
25,02:07:35,0.71,23.24
26,02:07:36,0.6,23.25
27,02:07:37,0.62,23.25
28,02:07:38,0.66,23.25
29,02:07:39,0.62,23.25
30,02:07:40,0.71,23.25
31,02:07:41,0.62,23.25
32,02:07:42,0.58,23.25
33,02:07:43,0.7,23.24
34,02:07:44,0.63,23.24
35,02:07:45,0.56,23.25
36,02:07:46,0.65,23.25
37,02:07:47,0.63,23.25
38,02:07:48,0.57,23.25
39,02:07:49,0.61,23.25
40,02:07:50,0.68,23.24
41,02:07:51,0.63,23.24
42,02:07:52,0.64,23.24
43,02:07:53,0.7,23.24
44,02:07:54,0.66,23.24
45,02:07:55,0.65,23.24
46,02:07:56,0.67,23.24
47,02:07:57,0.69,23.24
48,02:07:58,0.69,23.24
49,02:07:59,0.69,23.24
50,02:08:00,0.67,23.24
51,02:08:01,0.7,23.24
52,02:08:02,0.71,23.24
53,02:08:03,0.68,23.24
54,02:08:04,0.58,23.24
55,02:08:05,0.7,23.24
56,02:08:06,0.77,23.23
57,02:08:07,0.67,23.24
58,02:08:08,0.59,23.24
59,02:08:09,0.58,23.24
60,02:08:10,0.62,23.23
61,02:08:11,0.63,23.24
62,02:08:12,0.69,23.23
63,02:08:13,0.6,23.24
64,02:08:14,0.71,23.23
65,02:08:15,0.59,23.24
66,02:08:16,0.59,23.23
67,02:08:17,0.63,23.23
68,02:08:18,0.67,23.23
69,02:08:19,0.71,23.23
70,02:08:20,0.69,23.23
71,02:08:21,0.62,23.23
72,02:08:22,0.66,23.23
73,02:08:23,0.7,23.22
74,02:08:24,0.65,23.23
75,02:08:25,0.66,23.23
76,02:08:26,0.64,23.23
77,02:08:27,0.57,23.22
78,02:08:28,0.67,23.22
79,02:08:29,0.74,23.22
80,02:08:30,0.63,23.22
81,02:08:31,0.67,23.22
82,02:08:32,0.69,23.22
83,02:08:33,0.64,23.22
84,02:08:34,0.67,23.21
85,02:08:35,0.71,23.21
86,02:08:36,0.63,23.21
87,02:08:37,0.71,23.21
88,02:08:38,0.67,23.21
89,02:08:39,0.66,23.22
90,02:08:40,0.58,23.22
91,02:08:41,0.63,23.22
92,02:08:42,0.7,23.21
93,02:08:43,0.63,23.21
94,02:08:44,0.65,23.21
95,02:08:45,0.68,23.21
96,02:08:46,0.67,23.2
97,02:08:47,0.62,23.2
98,02:08:48,0.73,23.2
99,02:08:49,0.67,23.2
100,02:08:50,0.59,23.21
101,02:08:51,0.62,23.21
102,02:08:52,0.64,23.21
103,02:08:53,0.66,23.21
104,02:08:54,0.67,23.2
105,02:08:55,0.65,23.2
106,02:08:56,0.68,23.2
107,02:08:57,0.61,23.2
108,02:08:58,0.73,23.2
109,02:08:59,0.62,23.2
110,02:09:00,0.63,23.2
111,02:09:01,0.67,23.19
112,02:09:02,0.65,23.19
113,02:09:03,0.71,23.19
114,02:09:04,0.65,23.19
115,02:09:05,0.64,23.19
116,02:09:06,0.68,23.19
117,02:09:07,0.66,23.18
118,02:09:08,0.69,23.18
119,02:09:09,0.66,23.19
120,02:09:10,0.68,23.19
MFK3006 Log 23,TIME,m/s,°C
1,02:09:38,0.56,23.27
2,02:09:39,0.49,23.27
3,02:09:40,0.54,23.27
4,02:09:41,0.54,23.27
5,02:09:42,0.49,23.28
6,02:09:43,0.47,23.28
7,02:09:44,0.55,23.28
8,02:09:45,0.44,23.29
9,02:09:46,0.54,23.29
10,02:09:47,0.46,23.3
11,02:09:48,0.52,23.3
12,02:09:49,0.51,23.3
13,02:09:50,0.51,23.3
14,02:09:51,0.52,23.3
15,02:09:52,0.45,23.3
16,02:09:53,0.53,23.3
17,02:09:54,0.45,23.32
18,02:09:55,0.52,23.32
19,02:09:56,0.48,23.32
20,02:09:57,0.59,23.32
21,02:09:58,0.55,23.32
22,02:09:59,0.53,23.32
23,02:10:00,0.52,23.33
24,02:10:01,0.54,23.33
25,02:10:02,0.57,23.34
26,02:10:03,0.57,23.34
27,02:10:04,0.59,23.34
28,02:10:05,0.52,23.34
29,02:10:06,0.53,23.35
30,02:10:07,0.54,23.35
31,02:10:08,0.49,23.36
32,02:10:09,0.54,23.37
33,02:10:10,0.53,23.37
34,02:10:11,0.54,23.36
35,02:10:12,0.54,23.37
36,02:10:13,0.53,23.37
37,02:10:14,0.54,23.38
38,02:10:15,0.51,23.38
39,02:10:16,0.48,23.39
40,02:10:17,0.48,23.4
41,02:10:18,0.53,23.4
42,02:10:19,0.54,23.4
43,02:10:20,0.49,23.41
44,02:10:21,0.49,23.42
45,02:10:22,0.53,23.42
46,02:10:23,0.47,23.43
47,02:10:24,0.52,23.43
48,02:10:25,0.54,23.43
49,02:10:26,0.49,23.43
50,02:10:27,0.45,23.44
51,02:10:28,0.44,23.45
52,02:10:29,0.46,23.45
53,02:10:30,0.58,23.45
54,02:10:31,0.48,23.45
55,02:10:32,0.47,23.46
56,02:10:33,0.54,23.47
57,02:10:34,0.55,23.47
58,02:10:35,0.57,23.47
59,02:10:36,0.51,23.48
60,02:10:37,0.55,23.48
61,02:10:38,0.52,23.49
62,02:10:39,0.57,23.49
63,02:10:40,0.54,23.5
64,02:10:41,0.47,23.51
65,02:10:42,0.48,23.52
66,02:10:43,0.58,23.52
67,02:10:44,0.55,23.52
68,02:10:45,0.51,23.52
69,02:10:46,0.55,23.53
70,02:10:47,0.51,23.53
71,02:10:48,0.52,23.53
72,02:10:49,0.52,23.54
73,02:10:50,0.6,23.54
74,02:10:51,0.52,23.55
75,02:10:52,0.54,23.55
76,02:10:53,0.52,23.56
77,02:10:54,0.45,23.57
78,02:10:55,0.52,23.57
79,02:10:56,0.5,23.57
80,02:10:57,0.56,23.58
81,02:10:58,0.55,23.58
82,02:10:59,0.49,23.59
83,02:11:00,0.52,23.59
84,02:11:01,0.46,23.6
85,02:11:02,0.48,23.6
86,02:11:03,0.54,23.6
87,02:11:04,0.51,23.61
88,02:11:05,0.55,23.62
89,02:11:06,0.49,23.63
90,02:11:07,0.49,23.63
91,02:11:08,0.48,23.64
92,02:11:09,0.53,23.64
93,02:11:10,0.51,23.65
94,02:11:11,0.51,23.65
95,02:11:12,0.48,23.66
96,02:11:13,0.55,23.66
97,02:11:14,0.58,23.66
98,02:11:15,0.47,23.67
99,02:11:16,0.5,23.67
100,02:11:17,0.56,23.67
101,02:11:18,0.54,23.69
102,02:11:19,0.49,23.69
103,02:11:20,0.54,23.69
104,02:11:21,0.5,23.7
105,02:11:22,0.54,23.71
106,02:11:23,0.49,23.71
107,02:11:24,0.51,23.71
108,02:11:25,0.51,23.72
109,02:11:26,0.55,23.72
110,02:11:27,0.51,23.73
111,02:11:28,0.48,23.73
112,02:11:29,0.52,23.73
113,02:11:30,0.52,23.75
114,02:11:31,0.5,23.75
115,02:11:32,0.49,23.76
116,02:11:33,0.52,23.76
117,02:11:34,0.45,23.77
118,02:11:35,0.49,23.78
119,02:11:36,0.51,23.78
120,02:11:37,0.48,23.78
MFK3006 Log 24,TIME,m/s,°C
1,02:12:07,0.06,24.24
2,02:12:08,0.05,24.24
3,02:12:09,0.06,24.24
4,02:12:10,0.1,24.25
5,02:12:11,0.07,24.27
6,02:12:12,0.08,24.27
7,02:12:13,0.11,24.29
8,02:12:14,0.1,24.29
9,02:12:15,0.07,24.32
10,02:12:16,0.1,24.33
11,02:12:17,0.13,24.34
12,02:12:18,0.14,24.36
13,02:12:19,0.13,24.37
14,02:12:20,0.11,24.38
15,02:12:21,0.08,24.4
16,02:12:22,0.06,24.41
17,02:12:23,0.1,24.44
18,02:12:24,0.07,24.44
19,02:12:25,0.07,24.46
20,02:12:26,0.06,24.47
21,02:12:27,0.05,24.48
22,02:12:28,0.06,24.5
23,02:12:29,0.05,24.51
24,02:12:30,0.04,24.52
25,02:12:31,0.05,24.53
26,02:12:32,0.05,24.55
27,02:12:33,0.05,24.57
28,02:12:34,0.08,24.57
29,02:12:35,0.08,24.59
30,02:12:36,0.06,24.6
31,02:12:37,0.07,24.61
32,02:12:38,0.08,24.62
33,02:12:39,0.06,24.63
34,02:12:40,0.05,24.64
35,02:12:41,0.08,24.65
36,02:12:42,0.11,24.66
37,02:12:43,0.07,24.67
38,02:12:44,0.08,24.69
39,02:12:45,0.06,24.7
40,02:12:46,0.07,24.72
41,02:12:47,0.08,24.73
42,02:12:48,0.05,24.74
43,02:12:49,0.03,24.75
44,02:12:50,0.06,24.76
45,02:12:51,0.05,24.78
46,02:12:52,0.04,24.78
47,02:12:53,0.04,24.8
48,02:12:54,0.05,24.8
49,02:12:55,0.07,24.82
50,02:12:56,0.05,24.83
51,02:12:57,0.06,24.84
52,02:12:58,0.04,24.85
53,02:12:59,0.06,24.86
54,02:13:00,0.08,24.88
55,02:13:01,0.06,24.88
56,02:13:02,0.05,24.89
57,02:13:03,0.06,24.9
58,02:13:04,0.07,24.91
59,02:13:05,0.06,24.92
60,02:13:06,0.04,24.93
61,02:13:07,0.07,24.94
62,02:13:08,0.09,24.94
63,02:13:09,0.06,24.94
64,02:13:10,0.07,24.95
65,02:13:11,0.06,24.96
66,02:13:12,0.04,24.98
67,02:13:13,0.07,24.99
68,02:13:14,0.06,25
69,02:13:15,0.08,25.01
70,02:13:16,0.05,25.01
71,02:13:17,0.06,25.02
72,02:13:18,0.04,25.02
73,02:13:19,0.04,25.04
74,02:13:20,0.05,25.06
75,02:13:21,0.08,25.07
76,02:13:22,0.05,25.07
77,02:13:23,0.05,25.09
78,02:13:24,0.07,25.09
79,02:13:25,0.07,25.1
80,02:13:26,0.08,25.11
81,02:13:27,0.08,25.11
82,02:13:28,0.09,25.12
83,02:13:29,0.09,25.12
84,02:13:30,0.09,25.13
85,02:13:31,0.07,25.14
86,02:13:32,0.08,25.14
87,02:13:33,0.07,25.15
88,02:13:34,0.07,25.16
89,02:13:35,0.06,25.17
90,02:13:36,0.06,25.18
91,02:13:37,0.05,25.19
92,02:13:38,0.09,25.2
93,02:13:39,0.06,25.2
94,02:13:40,0.07,25.21
95,02:13:41,0.08,25.22
96,02:13:42,0.07,25.22
97,02:13:43,0.07,25.23
98,02:13:44,0.08,25.23
99,02:13:45,0.07,25.24
100,02:13:46,0.06,25.25
101,02:13:47,0.07,25.26
102,02:13:48,0.07,25.27
103,02:13:49,0.06,25.28
104,02:13:50,0.08,25.28
105,02:13:51,0.08,25.29
106,02:13:52,0.11,25.3
107,02:13:53,0.08,25.3
108,02:13:54,0.07,25.32
109,02:13:55,0.07,25.32
